keyFifths,beats,beatsType,harmonyRootStep,harmonyRootAlter,divisions,harmonyKind,harmonyDuration,sequenceId,startPitchStep,startPitchOctave,startPitchAlter,targetPitchStep,targetPitchOctave,targetPitchAlter
1,4,4,G,0,1,major-seventh,4,014ffcc8-31c4-4268-b063-88460a3b0d59,G,2,0,A,3,0
1,4,4,A,0,1,minor-seventh,4,b6e6c82a-192a-4c8d-a5e1-3636a992143e,A,3,0,D,3,0
1,4,4,D,0,1,dominant,4,3322366e-778e-4ae3-86e8-1c557e9a5744,D,3,0,G,2,0
1,4,4,G,0,1,major-seventh,4,873bcfd0-a228-4791-a46b-05e6c94fe00a,G,2,0,G,2,0
1,4,4,G,0,1,major-seventh,4,66fd7e78-1f01-4856-bf26-3e5ac5fbb564,G,2,0,A,2,-1
-6,4,4,A,-1,1,minor-seventh,4,ff773efa-42e9-4379-b1b4-4d2340bad49f,A,2,-1,D,3,-1
-6,4,4,D,-1,1,dominant,4,3c53fd0f-421f-45f3-82e8-2eb29bed9e3c,D,3,-1,G,3,-1
-6,4,4,G,-1,1,major-seventh,4,6440c240-3e6c-4657-9dff-83012bdaad5d,G,3,-1,G,2,-1
-6,4,4,G,-1,1,major-seventh,4,e197108b-b076-425e-9daf-471e0c777a96,G,2,-1,A,3,-1
-6,4,4,A,-1,1,minor-seventh,4,2f1cbcf3-0ba3-4eaf-abe5-887b40a086a9,A,3,-1,D,3,-1
-6,4,4,D,-1,1,dominant,4,83d9387b-ede8-41c2-aa9c-2ad75f76cec5,D,3,-1,G,3,-1
-6,4,4,G,-1,1,major-seventh,4,56c35ca0-6dac-4f99-aaed-18bf408d7d0c,G,3,-1,G,2,-1
-6,4,4,G,-1,1,major-seventh,4,a2fae9c8-b1fa-4c8d-80eb-1c58347f53c3,G,2,-1,G,2,1
6,4,4,G,1,1,minor-seventh,4,009b4d60-ec5d-48f9-952c-8bb579028851,G,2,1,C,3,1
6,4,4,C,1,1,dominant,4,203c678f-724d-41da-bdc1-f47d63c267a7,C,3,1,F,3,1
6,4,4,F,1,1,major-seventh,4,fa94acc4-d1db-45f7-980e-818512ce6e43,F,3,1,F,3,1
6,4,4,F,1,1,major-seventh,4,a0c021f5-0b28-4c62-92f7-5ea62aada28a,F,3,1,G,3,1
6,4,4,G,1,1,minor-seventh,4,581a782c-a8c6-4a8f-8f60-d19eeb60d8ed,G,3,1,C,3,1
6,4,4,C,1,1,dominant,4,a61ee42f-15ea-477c-a6d8-cb59d210a3a3,C,3,1,F,2,1
6,4,4,F,1,1,major-seventh,4,9c70eb83-8488-4cc7-8312-e0ec53a03b50,F,2,1,F,3,1
6,4,4,F,1,1,major-seventh,4,d75bb068-680b-4819-a17c-fc0dc0f2818e,F,3,1,G,3,0
-1,4,4,G,0,1,minor-seventh,4,c65f21d9-ec13-4eea-b51c-fee26172fe39,G,3,0,C,3,0
-1,4,4,C,0,1,dominant,4,557df72b-e935-48fe-b5b1-3017f1ba534f,C,3,0,F,3,0
-1,4,4,F,0,1,major-seventh,4,d8892b7d-2d0d-47a0-aaad-25c1769b60ca,F,3,0,F,2,0
-1,4,4,F,0,1,major-seventh,4,0b9521f3-35d9-47cb-9a22-a0f11aab0e17,F,2,0,F,2,1
4,4,4,F,1,1,minor-seventh,4,024f49a2-06f9-45c0-bedb-b5d99b005434,F,2,1,B,2,0
4,4,4,B,0,1,dominant,4,9acd1671-8a28-4379-b323-3aaaef20ca97,B,2,0,E,3,0
4,4,4,E,0,1,major-seventh,4,596d040d-0393-4bf4-a6c0-e277d695bda6,E,3,0,E,2,0
4,4,4,E,0,1,major-seventh,4,040e5cb3-ce68-414b-9774-7292cf48bbfd,E,2,0,F,3,0
-3,4,4,F,0,1,minor-seventh,4,b74e91ec-aa3e-4661-b0a9-9cea0299650f,F,3,0,B,2,-1
-3,4,4,B,-1,1,dominant,4,4f72acc4-1af1-4c21-8592-3b86124026f1,B,2,-1,E,3,-1
